img,cat,pair,type,jitter,run
SU_112.jpg,1,990,990,2,1
SU_108.jpg,1,999,999,2,1
OL_027a.jpg,2,27,2,2,1
SL_010b.jpg,1,10,2,2,1
OU_067.jpg,2,0,1,2,1
SL_060b.jpg,1,60,2,6.5,1
SU_038.jpg,1,0,1,2,1
SU_098.jpg,1,999,999,2,1
OU_102.jpg,2,999,999,2,1
SL_003b.jpg,1,3,2,2,1
OU_061.jpg,2,77,6,2,1
OU_022.jpg,2,78,6,6.5,1
OL_001b.jpg,2,1,2,11,1
SU_031.jpg,1,77,6,2,1
OU_029.jpg,2,0,1,2,1
OU_099.jpg,2,999,999,2,1
OL_022a.jpg,2,22,2,2,1
SU_097.jpg,1,999,999,2,1
OU_098.jpg,2,999,999,2,1
SL_044b.jpg,1,44,2,2,1
OU_031.jpg,2,76,6,2,1
SU_102.jpg,1,999,999,2,1
OU_035.jpg,2,0,1,6.5,1
SU_106.jpg,1,999,999,6.5,1
OL_054a.jpg,2,54,4,2,1
SL_024b.jpg,1,24,4,2,1
OU_042.jpg,2,0,1,2,1
OL_018a.jpg,2,18,4,2,1
OU_103.jpg,2,999,999,2,1
SU_061.jpg,1,0,1,2,1
SU_009.jpg,1,0,1,6.5,1
SU_030.jpg,1,78,6,6.5,1
OL_029a.jpg,2,29,4,11,1
SU_103.jpg,1,999,999,2,1
OL_005b.jpg,2,5,2,2,1
SL_055a.jpg,1,55,4,2,1
SU_016.jpg,1,76,6,6.5,1
OU_108.jpg,2,999,999,11,1
SL_045b.jpg,1,45,4,6.5,1
OU_106.jpg,2,999,999,2,1
SU_011.jpg,1,0,1,2,1
OU_111.jpg,2,990,990,2,2
OU_022.jpg,2,78,7,11,2
OL_038a.jpg,2,38,2,6.5,2
SL_047b.jpg,1,47,2,2,2
OU_052.jpg,2,0,1,2,2
OU_061.jpg,2,77,7,2,2
OU_023.jpg,2,0,1,6.5,2
SL_024a.jpg,1,24,5,2,2
OL_024b.jpg,2,24,2,6.5,2
SL_038a.jpg,1,38,2,11,2
SU_030.jpg,1,78,7,11,2
OL_029b.jpg,2,29,5,2,2
OU_031.jpg,2,76,7,2,2
SU_031.jpg,1,77,7,2,2
SU_068.jpg,1,0,1,2,2
SL_045a.jpg,1,45,5,2,2
OU_071.jpg,2,80,6,2,2
OU_044.jpg,2,79,6,2,2
